id,type,ebox_id,lat,lon
AA0000018C36,light,AA000000D44C,41.274712,1.721045
AA0000018C37,light,AA000001169B,41.285044,1.720372
AA0000018C38,light,AA000001169B,41.28446,1.720726
AA0000018C39,light,AA000001169B,41.28876,1.72005
AA0000018C3A,light,AA000001169B,41.289076,1.719183
AA0000018C3B,light,AA000001169B,41.288028,1.719709
AA0000018C3C,light,AA000001169B,41.288976,1.71963
AA0000018C3D,light,AA000001169B,41.284836,1.720616
AA0000018C3E,light,AA000001169B,41.288872,1.718599
AA0000018C3F,light,AA000001169B,41.2891,1.718235
AA0000018C40,light,AA000001169B,41.288684,1.718886
AA0000018C41,light,AA000001169B,41.28878,1.718725
AA0000018C42,light,AA000001169B,41.288992,1.718395
AA0000018C43,light,AA000001169B,41.289108,1.718682
AA0000018C44,light,AA000000D44C,41.27548,1.722341
AA0000018C45,light,AA000000D44C,41.275124,1.722052
AA0000018C46,light,AA000000D44C,41.275992,1.722493
AA0000018C47,light,AA000000D44C,41.275072,1.721828
AA0000018C48,light,AA000000D44C,41.275744,1.722433
